Month,All items,Core CPI,Apparel,ALL_MOM,CORE_MOM,APPAREL_MOM
1/22/2022,7.50%,6.00%,5.30%,0.00%,0.00%,0.00%
2/22/2022,7.90%,6.40%,6.60%,0.00%,0.00%,0.00%
3/22/2022,8.50%,6.50%,6.80%,0.00%,0.00%,0.00%
4/22/2022,8.30%,6.20%,5.40%,0.00%,0.00%,0.00%
5/22/2022,8.60%,6.00%,5.00%,0.00%,0.00%,0.00%
6/22/2022,9.10%,5.90%,5.20%,0.00%,0.00%,0.00%
7/22/2022,8.50%,5.90%,5.10%,0.00%,0.00%,0.00%
8/22/2022,8.30%,6.30%,5.10%,0.00%,0.00%,0.00%
9/22/2022,8.20%,6.60%,5.50%,0.00%,0.00%,0.00%
10/22/2022,7.70%,6.30%,4.10%,0.00%,0.00%,0.00%
11/22/2022,7.10%,6.00%,3.60%,0.00%,0.00%,0.00%
12/22/2022,6.50%,5.70%,2.90%,0.00%,0.00%,0.00%
1/23/2023,6.40%,5.60%,3.10%,0.00%,0.00%,0.00%
2/23/2023,6.00%,5.50%,3.30%,0.00%,0.00%,0.00%
3/23/2023,5.00%,5.60%,3.30%,0.00%,0.00%,0.00%
4/23/2023,4.90%,5.50%,3.60%,0.00%,0.00%,0.00%
5/23/2023,4.00%,5.30%,3.50%,0.00%,0.00%,0.00%
6/23/2023,3.00%,4.80%,3.10%,0.00%,0.00%,0.00%
7/23/2023,3.20%,4.70%,3.20%,0.00%,0.00%,0.00%
8/23/2023,3.70%,4.30%,3.10%,0.00%,0.00%,0.00%
9/23/2023,3.70%,4.10%,2.30%,0.00%,0.00%,0.00%
10/23/2023,3.20%,4.00%,2.60%,0.00%,0.00%,0.00%
11/23/2023,3.10%,4.00%,1.10%,0.00%,0.00%,0.00%
12/23/2023,3.40%,3.90%,1.00%,0.00%,0.00%,0.00%
1/24/2024,3.10%,3.90%,0.10%,0.00%,0.00%,0.00%
2/24/2024,3.20%,3.80%,0.00%,0.00%,0.00%,0.00%
3/24/2024,3.50%,3.80%,0.40%,0.00%,0.00%,0.00%
4/24/2024,3.40%,3.60%,1.30%,0.00%,0.00%,0.00%
5/24/2024,3.30%,3.40%,0.80%,0.00%,0.00%,0.00%
6/24/2024,3.00%,3.30%,0.80%,0.00%,0.00%,0.00%
7/24/2024,2.90%,3.20%,0.20%,0.00%,0.00%,0.00%
8/24/2024,2.50%,3.20%,0.30%,0.00%,0.00%,0.00%
9/24/2024,2.40%,3.30%,1.80%,0.00%,0.00%,0.00%
10/24/2024,2.60%,3.30%,0.30%,0.00%,0.00%,0.00%
11/24/2024,2.70%,3.30%,1.10%,0.00%,0.00%,0.00%
12/24/2024,2.90%,3.20%,1.20%,0.00%,0.00%,0.00%
1/25/2025,3.00%,3.30%,0.40%,0.00%,0.00%,0.00%
2/25/2025,2.80%,3.10%,0.60%,0.00%,0.00%,0.00%
3/25/2025,2.40%,2.80%,0.30%,0.00%,0.00%,0.00%
4/25/2025,2.30%,2.80%,-0.70%,0.00%,0.00%,0.00%
5/25/2025,2.40%,2.80%,-0.90%,0.00%,0.00%,0.00%
6/25/2025,2.70%,2.90%,-0.50%,0.30%,0.20%,0.40%
7/25/2025,2.70%,3.10%,-0.20%,0.20%,0.30%,0.10%
8/25/2025,2.90%,3.10%,0.20%,0.30%,0.40%,0.50%
9/25/2025,3.00%,3.00%,-0.10%,0.30%,0.20%,0.70%
10/25/2025,,,,,,
11/25/2025,2.70%,2.60%,0.20%,,,
12/25/2025,2.70%,2.60%,0.60%,0.30%,0.20%,0.30%
1/25/2026,2.40%,2.50%,1.70%,0.20%,0.30%,0.30%
2/25/2026,2.40%,2.50%,2.50%,0.30%,0.20%,1.30%
3/25/2026,3.30%,2.60%,3.40%,0.90%,0.20%,1.00%
